millis,block_temp_1,block_temp_2,block_temp_mean,temp_cap,block_gradient,cap_gradient,l_btn,r_btn,H70_pwm,H50_pwm,H_CAP_pwm,H70_act,H50_act,H_CAP_act,FAN_act,AZ_5,target_temp_block,target_temp_cap,heat_act
910712,87.75,86.00,86.87,109.50,0.74,-0.11,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
911421,88.25,86.75,87.50,109.75,0.63,-0.04,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
912129,88.75,87.00,87.87,109.50,0.60,0.03,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
912838,89.25,87.75,88.50,109.50,0.64,-0.11,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
913547,89.75,88.25,89.00,109.75,0.67,-0.07,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
914254,90.00,88.50,89.25,109.75,0.60,-0.07,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
914963,90.50,89.00,89.75,109.75,0.57,-0.07,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
915672,91.00,89.50,90.25,110.00,0.60,-0.07,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
916378,91.50,89.75,90.62,110.00,0.67,-0.04,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
917084,92.25,90.00,91.12,110.00,0.64,-0.00,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
917789,92.00,90.50,91.25,110.25,0.64,0.07,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
918510,92.50,90.75,91.62,110.25,0.60,0.11,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
919215,93.00,91.00,92.00,110.00,0.60,0.07,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
919926,93.50,92.00,92.75,109.75,0.60,0.07,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
920638,94.00,92.00,93.00,110.00,0.60,0.03,0,0,100,100,100,1,1,1,0,0,95.00,110.00,1
921343,94.50,93.25,93.87,109.50,0.60,0.03,0,0,100,100,0,1,1,1,0,0,95.00,110.00,1
